site_id,site_name,ACBR_ID,ACBR_Name
ACTI,Active Reef (Active Sound),3,North-west Antarctic Peninsula
ACUN,Acuna Island,2,South Orkney Islands
ADAM,Adams Island,7,East Antarctica
AILS,Ailsa Craig,2,South Orkney Islands
AITI,Aitcho Island Other,3,North-west Antarctic Peninsula
AITK,Aitken Cove,2,South Orkney Islands
AKAR,Akarui Point,5,Enderby Land
ALAS,Alasheyev Bight,5,Enderby Land
ALCO,Alcock Island,3,North-west Antarctic Peninsula
AMAN,Amanda Bay,7,East Antarctica
AMBU,Ambush Bay,3,North-west Antarctic Peninsula
AMPH,Amphibolite Point,2,South Orkney Islands
AMUN,Amundsen Bay,5,Enderby Land
ANCH,Anchorage Island,3,North-west Antarctic Peninsula
ANDS,Andersen Island,16,Prince Charles Mountains
ANDR,Andresen Island Site 1,3,North-west Antarctic Peninsula
ANDI,Andresen Island Site 2,3,North-west Antarctic Peninsula
ANVS,Anvers Island South West (7 km south of Gerlache Island),3,North-west Antarctic Peninsula
ARDL,Ardley Island,3,North-west Antarctic Peninsula
ARMS,Armstrong Reef,3,North-west Antarctic Peninsula
ARTH,Arthurson Ridge,13,Adelie Land
ASPL,Aspland Island,3,North-west Antarctic Peninsula
ASTD,Astrid,6,Dronning Maud Land
ASTR,Astrolabe Island,3,North-west Antarctic Peninsula
ATKA,Atka,6,Dronning Maud Land
AUST,Auster Islands,16,Prince Charles Mountains
AVIA,Avian Island,3,North-west Antarctic Peninsula
BACH,Bach Quartet,3,North-west Antarctic Peninsula
BACK,Backer Islands,14,Ellsworth Land
BAIL,Baily Head (Deception Island),3,North-west Antarctic Peninsula
BALA,Balaena Islands,7,East Antarctica
BALD,Bald Head,1,North-east Antarctic Peninsula
BARC,Barcroft Islands,3,North-west Antarctic Peninsula
BARN,Barnard Point (Livingston Island),3,North-west Antarctic Peninsula
AITC,Barrientos Island (Aitcho Islands),3,North-west Antarctic Peninsula
BART,Barton Peninsula,3,North-west Antarctic Peninsula
BEAG,Beagle Island,3,North-west Antarctic Peninsula
BEAR,Bear Peninsula,12,Marie Byrd Land
BEAU,Beaufort Island,9,South Victoria Land
BEAN,Beaufort Island North,9,South Victoria Land
BEAV,Beaver Rocks,3,North-west Antarctic Peninsula
BECH,Bechervaise Island,16,Prince Charles Mountains
BELI,Bell Island,3,North-west Antarctic Peninsula
BELL,Bell Point,3,North-west Antarctic Peninsula
BENE,Beneden Head,3,North-west Antarctic Peninsula
BENT,Benten,5,Enderby Land
BERK,Berkley/Cameron,7,East Antarctica
BERN,Bernardo O'Higgins Station,3,North-west Antarctic Peninsula
BERT,Berthelot Islands (excl. Green Island),3,North-west Antarctic Peninsula
BISC,Biscoe Point,3,North-west Antarctic Peninsula
BLAI,Blaiklock Island,3,North-west Antarctic Peninsula
BLAK,Blake Island,3,North-west Antarctic Peninsula
WHTY,Blakeney/Whitney,7,East Antarctica
BOLI,Bolingen/Lichen Island,7,East Antarctica
BONG,Bongrain Point (Pourquoi Pas Island),3,North-west Antarctic Peninsula
BOUD,Boudet Island,3,North-west Antarctic Peninsula
BOWM,Bowman Island,7,East Antarctica
BOYE,Boyer Rocks,3,North-west Antarctic Peninsula
BRAS,Brash Island,3,North-west Antarctic Peninsula
BRAT,Brattstrand Bluff,7,East Antarctica
BRIM,Brimstone Peak,3,North-west Antarctic Peninsula
BRPW,Brimstone Peak (west),3,North-west Antarctic Peninsula
BRIT,Brittannia's Figleaf,3,North-west Antarctic Peninsula
BRIW,Brittannia's Figleaf West,3,North-west Antarctic Peninsula
BROW,Brown Bluff,3,North-west Antarctic Peninsula
BSON,Brownson Islands,14,Ellsworth Land
ALMI,Brown Station,3,North-west Antarctic Peninsula
BRUI,Bruce Island,3,North-west Antarctic Peninsula
BRUC,Bruce Islands,2,South Orkney Islands
BRYC,Bryde Island Cliffs,3,North-west Antarctic Peninsula
BRYE,Bryde Island East,3,North-west Antarctic Peninsula
BRYS,Bryde Island South,3,North-west Antarctic Peninsula
BUCH,Buchanan Point,2,South Orkney Islands
BUCK,Buckle Island,8,North Victoria Land
BUSK,Buskin Rocks,3,North-west Antarctic Peninsula
BYER,Byers Peninsula,3,North-west Antarctic Peninsula
BYEW,Byewater Point,3,North-west Antarctic Peninsula
BPTS,Byewater Point (south),3,North-west Antarctic Peninsula
HILL,Camp Hill,1,North-east Antarctic Peninsula
ADAR,Cape Adare,8,North Victoria Land
ANDE,Cape Anderson,2,South Orkney Islands
ANNE,Cape Anne,8,North Victoria Land
ASTU,Cape Astrup,3,North-west Antarctic Peninsula
CBAR,Cape Barne,9,South Victoria Land
BATT,Cape Batterbee,5,Enderby Land
BELS,Cape Belsham,3,North-west Antarctic Peninsula
BENN,Cape Bennett,2,South Orkney Islands
BIEN,Cape Bienvenue,13,Adelie Land
BRDM,Cape Bird Middle,9,South Victoria Land
BRDN,Cape Bird North,9,South Victoria Land
BRDS,Cape Bird South,9,South Victoria Land
BOWL,Cape Bowles,3,North-west Antarctic Peninsula
BURD,Cape Burd,3,North-west Antarctic Peninsula
BURK,Cape Burks,12,Marie Byrd Land
CBEK,"Cape Colbeck, Edward VII Peninsula",12,Marie Byrd Land
CONW,Cape Conway,3,North-west Antarctic Peninsula
CCOE,Cape Conway (east),3,North-west Antarctic Peninsula
CORN,Cape Cornish (NE Buckle),13,Adelie Land
COTT,Cape Cotter,8,North Victoria Land
CROZ,Cape Crozier,9,South Victoria Land
DARN,Cape Darnley,16,Prince Charles Mountains
CDAV,Cape Davis,8,North Victoria Land
DENI,Cape Denison,13,Adelie Land
EVEN,Cape Evensen (mainland),3,North-west Antarctic Peninsula
EVER,Cape Evensen (offshore rocks),3,North-west Antarctic Peninsula
GARY,Cape Garry,3,North-west Antarctic Peninsula
GEDD,Cape Geddes,2,South Orkney Islands
CHAL,Cape Hallett,8,North Victoria Land
HANS,"Cape Hansen, Coronation Island",2,South Orkney Islands
CHNE,Cape Herschel (northeast),3,North-west Antarctic Peninsula
CHSE,Cape Herschel (southeast),3,North-west Antarctic Peninsula
HINO,Cape Hinode,5,Enderby Land
HOOK,Cape Hooker,3,North-west Antarctic Peninsula
HORS,Cape Hooker Rock (south),3,North-west Antarctic Peninsula
CHUN,Cape Hunter,13,Adelie Land
JAME,Cape James,3,North-west Antarctic Peninsula
JONE,Cape Jones,8,North Victoria Land
JULE,Cape Jules,13,Adelie Land
KATE,Cape Kater,3,North-west Antarctic Peninsula
KJEL,Cape Kjellman,3,North-west Antarctic Peninsula
LACH,Cape Lachman (James Ross Island),1,North-east Antarctic Peninsula
LAUR,Cape Laure,3,North-west Antarctic Peninsula
LEGU,Cape Leguillou,3,North-west Antarctic Peninsula
CLIN,Cape Lindsey,3,North-west Antarctic Peninsula
LLOY,Cape Lloyd,3,North-west Antarctic Peninsula
LOOK,Cape Lookout,3,North-west Antarctic Peninsula
CMEL,Cape Melville,3,North-west Antarctic Peninsula
MONA,Cape Monaco,3,North-west Antarctic Peninsula
CMUR,Cape Murray,3,North-west Antarctic Peninsula
NUTT,Cape Nutt,7,East Antarctica
OMGA,Cape Omega,5,Enderby Land
PHIL,Cape Phillips,8,North Victoria Land
PIGE,Cape Pigeon Rocks,13,Adelie Land
CROB,Cape Robertson,2,South Orkney Islands
ROCA,Cape Roca,2,South Orkney Islands
ROGE,Cape Roget,8,North Victoria Land
ROQU,Cape Roquemaurel,3,North-west Antarctic Peninsula
ROYD,Cape Royds,9,South Victoria Land
SHIR,Cape Shirreff,3,North-west Antarctic Peninsula
SMIT,Cape Smith,3,North-west Antarctic Peninsula
TUXE,Cape Tuxen,3,North-west Antarctic Peninsula
VALE,Cape Valentine,3,North-west Antarctic Peninsula
CVIK,Cape Vik,2,South Orkney Islands
WAIT,Cape Waites,14,Ellsworth Land
WALL,Cape Wallace,3,North-west Antarctic Peninsula
WABL,Cape Wallace Bluff (south),3,North-west Antarctic Peninsula
WASH,Cape Washington,8,North Victoria Land
WHEA,Cape Wheatstone,8,North Victoria Land
WHIT,Cape Whitson,2,South Orkney Islands
CARL,Carlota Cove,3,North-west Antarctic Peninsula
CARO,Caroline Bluff,3,North-west Antarctic Peninsula
CBAY,Casey Bay,5,Enderby Land
CAST,Castle Rock,3,North-west Antarctic Peninsula
CASY,Casy Island,3,North-west Antarctic Peninsula
CECI,Cecilia Island,3,North-west Antarctic Peninsula
CHAB,"Chabrier Rock, Vaureal Peak",3,North-west Antarctic Peninsula
